phase,epoch,loss,mae,mse,rmse,psnr,ergas,sam
train,0,0.035543,0.035543,0.003091,0.052355,26.136506,0.644393,0.685868
validation,0,0.035543,0.035543,0.003091,0.052356,26.136449,0.644398,0.685862
train,1,0.024868,0.024868,0.001672,0.037711,29.119225,0.475412,0.534616
validation,1,0.024867,0.024867,0.001671,0.03771,29.119348,0.475404,0.534613
train,2,0.019862,0.019862,0.001268,0.032005,30.770925,0.399722,0.482844
validation,2,0.019862,0.019862,0.001268,0.032005,30.770824,0.399724,0.482845
train,3,0.019477,0.019477,0.001158,0.03064,31.118675,0.394716,0.563631
validation,3,0.019477,0.019477,0.001158,0.03064,31.1185,0.39471,0.563618
train,4,0.019126,0.019126,0.001094,0.029894,31.291349,0.361554,0.559653
validation,4,0.019125,0.019125,0.001094,0.029891,31.291996,0.361541,0.559619
train,5,0.016609,0.016609,0.00096,0.027366,32.281259,0.328857,0.385111
validation,5,0.016609,0.016609,0.00096,0.027365,32.281341,0.328851,0.385102
train,6,0.016301,0.016301,0.000927,0.026953,32.377554,0.313192,0.453793
validation,6,0.016301,0.016301,0.000927,0.026953,32.377622,0.313191,0.453787
train,7,0.01497,0.01497,0.00087,0.025792,32.891451,0.291121,0.393225
validation,7,0.01497,0.01497,0.000869,0.025792,32.891269,0.291116,0.393216
train,8,0.013934,0.013934,0.00081,0.024609,33.431651,0.278962,0.361758
validation,8,0.013934,0.013934,0.000811,0.02461,33.431352,0.278977,0.361765
train,9,0.013876,0.013876,0.000787,0.024352,33.467595,0.273681,0.32037
validation,9,0.013876,0.013876,0.000787,0.024352,33.467706,0.273683,0.320353
train,10,0.013749,0.013749,0.000759,0.023958,33.603551,0.275032,0.363612
validation,10,0.013749,0.013749,0.000759,0.02396,33.603273,0.275047,0.363601
train,11,0.013026,0.013026,0.000715,0.02314,33.987936,0.258426,0.304466
validation,11,0.013026,0.013026,0.000716,0.023141,33.987733,0.258439,0.304478
train,12,0.013332,0.013332,0.000705,0.023242,33.806198,0.263191,0.300422
validation,12,0.013332,0.013332,0.000706,0.023244,33.805717,0.263176,0.300429
train,13,0.012486,0.012486,0.00067,0.022438,34.239245,0.251317,0.304566
validation,13,0.012486,0.012486,0.00067,0.022438,34.23926,0.251317,0.304564
train,14,0.013509,0.013509,0.000689,0.023105,33.803063,0.26259,0.295142
validation,14,0.013509,0.013509,0.000689,0.023103,33.803597,0.262587,0.295137
train,15,0.012174,0.012174,0.000641,0.021972,34.411151,0.243234,0.282106
validation,15,0.012174,0.012174,0.000641,0.021972,34.41145,0.24322,0.282097
train,16,0.011812,0.011812,0.000614,0.02147,34.647639,0.23709,0.295839
validation,16,0.011811,0.011811,0.000614,0.02147,34.647711,0.237084,0.295848
train,17,0.011381,0.011381,0.000593,0.021057,34.845539,0.22917,0.281436
validation,17,0.011381,0.011381,0.000593,0.021057,34.845705,0.229165,0.281446
train,18,0.011146,0.011146,0.00058,0.020796,34.983183,0.223984,0.267535
validation,18,0.011145,0.011145,0.00058,0.020794,34.983617,0.223976,0.267526
train,19,0.011554,0.011554,0.000584,0.021009,34.799234,0.230017,0.294773
validation,19,0.011554,0.011554,0.000584,0.021006,34.799798,0.230009,0.294775
train,20,0.011433,0.011433,0.000584,0.020955,34.861871,0.228571,0.282647
validation,20,0.011433,0.011433,0.000584,0.020953,34.862666,0.228558,0.28264
train,21,0.010995,0.010996,0.000561,0.020513,35.068004,0.219296,0.259743
validation,21,0.010996,0.010996,0.000561,0.020514,35.067421,0.219309,0.259755
train,22,0.011197,0.011197,0.000556,0.020486,35.042022,0.224463,0.275257
validation,22,0.011197,0.011197,0.000556,0.020483,35.042797,0.224455,0.275246
train,23,0.010757,0.010757,0.00054,0.020113,35.252021,0.217101,0.261858
validation,23,0.010757,0.010757,0.00054,0.020112,35.252467,0.217104,0.261864
train,24,0.010875,0.010875,0.00055,0.020328,35.146423,0.215815,0.256906
validation,24,0.010875,0.010875,0.00055,0.020328,35.146536,0.215816,0.256914
train,25,0.010698,0.010698,0.000533,0.019992,35.306908,0.214937,0.25645
validation,25,0.010698,0.010698,0.000533,0.019989,35.307771,0.214926,0.256444
train,26,0.010547,0.010547,0.000531,0.01992,35.350482,0.211936,0.251405
validation,26,0.010547,0.010547,0.000531,0.01992,35.350626,0.21194,0.251407
train,27,0.0106,0.0106,0.000522,0.019786,35.386697,0.213687,0.25248
validation,27,0.0106,0.0106,0.000522,0.019785,35.386828,0.213682,0.252479
train,28,0.010505,0.010505,0.000516,0.019694,35.423515,0.211675,0.251549
validation,28,0.010505,0.010505,0.000517,0.019695,35.422975,0.211683,0.251553
train,29,0.010456,0.010456,0.000517,0.019661,35.458354,0.20954,0.254443
validation,29,0.010456,0.010456,0.000517,0.019662,35.458081,0.209544,0.254435
train,30,0.010898,0.010898,0.000518,0.019902,35.22912,0.214402,0.272696
validation,30,0.010898,0.010898,0.000518,0.019902,35.228946,0.214401,0.272695
train,31,0.010388,0.010388,0.000501,0.019429,35.534378,0.208126,0.253389
validation,31,0.010388,0.010388,0.000501,0.019429,35.534463,0.208129,0.253384
train,32,0.010403,0.010403,0.000499,0.019438,35.505676,0.208237,0.245407
validation,32,0.010403,0.010403,0.0005,0.01944,35.505246,0.208237,0.245405
train,33,0.010235,0.010235,0.000493,0.019293,35.583645,0.205901,0.245192
validation,33,0.010235,0.010235,0.000493,0.019292,35.583814,0.205898,0.245198
train,34,0.010173,0.010173,0.000488,0.019188,35.641325,0.204425,0.242522
validation,34,0.010174,0.010174,0.000488,0.019189,35.640658,0.204431,0.24253
train,35,0.010075,0.010075,0.000485,0.019096,35.702438,0.202472,0.241494
validation,35,0.010075,0.010075,0.000485,0.019096,35.702744,0.20247,0.241492
train,36,0.010276,0.010276,0.000492,0.019267,35.592119,0.206001,0.25158
validation,36,0.010275,0.010275,0.000491,0.019267,35.591876,0.205996,0.251572
train,37,0.010095,0.010095,0.000478,0.019013,35.710331,0.202758,0.241526
validation,37,0.010095,0.010095,0.000478,0.019014,35.710057,0.20275,0.241526
train,38,0.010013,0.010013,0.000473,0.018897,35.776883,0.20138,0.240379
validation,38,0.010013,0.010013,0.000473,0.018898,35.776677,0.201392,0.240383
train,39,0.010098,0.010098,0.000474,0.018954,35.728506,0.201905,0.238393
validation,39,0.010098,0.010098,0.000474,0.018954,35.728463,0.201898,0.238388
train,40,0.010007,0.010007,0.000472,0.01889,35.770007,0.201015,0.240647
validation,40,0.010007,0.010007,0.000472,0.018889,35.770314,0.201007,0.240634
train,41,0.010124,0.010124,0.000471,0.018927,35.725725,0.201789,0.237867
validation,41,0.010124,0.010124,0.000472,0.018929,35.725458,0.201793,0.237872
train,42,0.010037,0.010037,0.000467,0.018824,35.788282,0.201742,0.243246
validation,42,0.010037,0.010037,0.000467,0.018822,35.788562,0.201738,0.243247
train,43,0.010028,0.010028,0.000467,0.018831,35.773327,0.199772,0.237581
validation,43,0.010029,0.010029,0.000466,0.018831,35.77291,0.199771,0.237587
train,44,0.010022,0.010022,0.000464,0.018769,35.801775,0.200348,0.243464
validation,44,0.010023,0.010023,0.000464,0.018769,35.80168,0.200345,0.243477
train,45,0.009924,0.009924,0.000466,0.018742,35.84629,0.199141,0.239774
validation,45,0.009924,0.009924,0.000466,0.018743,35.845623,0.199143,0.239772
train,46,0.009835,0.009835,0.000458,0.01862,35.895673,0.197427,0.234268
validation,46,0.009835,0.009835,0.000458,0.018619,35.896037,0.19743,0.234266
train,47,0.009797,0.009797,0.000452,0.018517,35.93762,0.196678,0.234727
validation,47,0.009797,0.009797,0.000452,0.018513,35.938845,0.19667,0.234728
train,48,0.0098,0.0098,0.000454,0.018547,35.927019,0.196786,0.233427
validation,48,0.0098,0.0098,0.000454,0.018546,35.927578,0.196784,0.23343
train,49,0.009903,0.009903,0.000458,0.018672,35.848544,0.198752,0.237049
validation,49,0.009903,0.009903,0.000459,0.018672,35.848391,0.198752,0.237045
train,50,0.009834,0.009834,0.000449,0.018482,35.944143,0.19712,0.233788
validation,50,0.009834,0.009834,0.00045,0.018484,35.943635,0.197121,0.233784
train,51,0.009741,0.009741,0.000447,0.018416,35.984398,0.195793,0.232721
validation,51,0.009741,0.009741,0.000447,0.018414,35.984996,0.195801,0.232719
train,52,0.009729,0.009729,0.000447,0.018403,35.993108,0.195556,0.232534
validation,52,0.009729,0.009729,0.000447,0.0184,35.994085,0.195538,0.232532
train,53,0.009757,0.009757,0.000443,0.018365,35.992729,0.195365,0.233896
validation,53,0.009757,0.009757,0.000443,0.018367,35.991885,0.195378,0.2339
train,54,0.009818,0.009818,0.000447,0.018456,35.942604,0.195572,0.23263
validation,54,0.009818,0.009818,0.000447,0.018454,35.94298,0.195568,0.232635
train,55,0.00974,0.00974,0.00044,0.018289,36.028563,0.195412,0.233827
validation,55,0.00974,0.00974,0.00044,0.018286,36.029629,0.195402,0.233828
train,56,0.009759,0.009759,0.000443,0.018359,35.99199,0.196196,0.23502
validation,56,0.00976,0.00976,0.000443,0.01836,35.991455,0.196206,0.235029
train,57,0.00967,0.00967,0.000438,0.018253,36.049112,0.193983,0.23053
validation,57,0.009669,0.009669,0.000438,0.01825,36.049837,0.193979,0.230516
train,58,0.009699,0.009699,0.000435,0.018209,36.065723,0.194355,0.231916
validation,58,0.009699,0.009699,0.000435,0.01821,36.065762,0.194351,0.231903
train,59,0.009757,0.009757,0.000439,0.018308,35.999587,0.194651,0.229358
validation,59,0.009756,0.009756,0.000439,0.018306,35.999908,0.194646,0.229353
train,60,0.009774,0.009774,0.000436,0.018268,36.011059,0.196024,0.236596
validation,60,0.009775,0.009775,0.000436,0.018269,36.010362,0.196032,0.236599
train,61,0.009808,0.009808,0.000437,0.01827,36.015422,0.196571,0.233248
validation,61,0.009808,0.009808,0.000437,0.018271,36.015577,0.196578,0.233254
train,62,0.009617,0.009617,0.00043,0.018097,36.116613,0.192594,0.229328
validation,62,0.009617,0.009617,0.00043,0.018097,36.116838,0.192594,0.229316
train,63,0.00964,0.00964,0.000428,0.018076,36.120788,0.192773,0.231486
validation,63,0.00964,0.00964,0.000428,0.018076,36.120563,0.192784,0.231485
train,64,0.009755,0.009755,0.000431,0.018176,36.044213,0.194615,0.236438
validation,64,0.009755,0.009755,0.000431,0.018175,36.044713,0.194604,0.236441
train,65,0.00969,0.00969,0.000425,0.018049,36.106615,0.193226,0.228226
validation,65,0.009689,0.009689,0.000425,0.018051,36.106011,0.193233,0.228226
train,66,0.00967,0.00967,0.000431,0.018156,36.068802,0.192748,0.232261
validation,66,0.00967,0.00967,0.000431,0.018154,36.069421,0.192744,0.232263
train,67,0.009511,0.009511,0.000422,0.017924,36.204837,0.19027,0.226626
validation,67,0.009511,0.009511,0.000422,0.017924,36.204433,0.190275,0.226634
train,68,0.009499,0.009499,0.000422,0.01794,36.189916,0.190409,0.226662
validation,68,0.009499,0.009499,0.000422,0.017942,36.189065,0.19041,0.22667
train,69,0.00954,0.00954,0.000425,0.018012,36.156372,0.191208,0.227677
validation,69,0.00954,0.00954,0.000425,0.018011,36.156387,0.191206,0.22768
train,70,0.009643,0.009643,0.000428,0.018096,36.08624,0.191603,0.230075
validation,70,0.009643,0.009643,0.000428,0.018094,36.086725,0.191602,0.230078
train,71,0.009678,0.009678,0.000424,0.018056,36.09491,0.191994,0.231311
validation,71,0.009678,0.009678,0.000424,0.018056,36.094945,0.19199,0.231317
train,72,0.009543,0.009543,0.000421,0.017948,36.164229,0.190269,0.225983
validation,72,0.009542,0.009542,0.000421,0.017947,36.164625,0.190256,0.225976
train,73,0.009493,0.009493,0.000416,0.017844,36.224302,0.189886,0.226307
validation,73,0.009493,0.009493,0.000416,0.017843,36.224596,0.189887,0.226314
train,74,0.009482,0.009482,0.000415,0.017814,36.240642,0.189711,0.225466
validation,74,0.009482,0.009482,0.000415,0.017814,36.240292,0.189702,0.22546
train,75,0.009507,0.009507,0.000417,0.017836,36.232208,0.190159,0.227034
validation,75,0.009507,0.009507,0.000417,0.017835,36.232434,0.190159,0.227028
train,76,0.009454,0.009454,0.000414,0.017772,36.261566,0.189171,0.224895
